Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
luminae-rose-argan-body-oil,"Luminae Rose & Argan Body Oil","<h2>Sink into softness.</h2><p>Our Rose &amp; Argan Body Oil is a lightweight, fast-absorbing dry oil that wraps your skin in deep nourishment. Pressed from cold-extracted argan kernels and infused with Bulgarian rose, it leaves skin luminous, supple, and gently scented — without the greasy feeling.</p><p>Ideal for post-shower rituals or a calming evening wind-down. Free from parabens, sulphates, and synthetic fragrance.</p><ul><li>Cold-extracted argan oil</li><li>Bulgarian rose infusion</li><li>Fast-absorbing dry-oil formula</li><li>Paraben &amp; sulphate-free</li><li>Suitable for all skin types</li></ul><p><strong>How to use:</strong> Apply 4–6 drops to damp skin after showering. Massage gently in circular motions until absorbed.</p>",Luminae,Health & Beauty > Personal Care > Cosmetics > Skin Care,Body Oil,"body-oil, argan, rose, natural, gifting, bestseller",TRUE,Size,50ml,,,LMN-BR-001-50,150,shopify,50,deny,manual,1199,1599,TRUE,TRUE,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=800,1,Luminae Rose & Argan Body Oil 50ml bottle on wooden surface,"Luminae Rose & Argan Body Oil — Natural Glow Skin Nourishment | Luminae","Discover our lightweight Rose & Argan Body Oil. Cold-pressed, paraben-free, and deeply nourishing. Shop Luminae's premium natural body care — free shipping on orders over ₹999.",active
luminae-rose-argan-body-oil,"Luminae Rose & Argan Body Oil","<h2>Sink into softness.</h2><p>Our Rose &amp; Argan Body Oil is a lightweight, fast-absorbing dry oil that wraps your skin in deep nourishment. Pressed from cold-extracted argan kernels and infused with Bulgarian rose, it leaves skin luminous, supple, and gently scented — without the greasy feeling.</p><p>Ideal for post-shower rituals or a calming evening wind-down. Free from parabens, sulphates, and synthetic fragrance.</p><ul><li>Cold-extracted argan oil</li><li>Bulgarian rose infusion</li><li>Fast-absorbing dry-oil formula</li><li>Paraben &amp; sulphate-free</li><li>Suitable for all skin types</li></ul><p><strong>How to use:</strong> Apply 4–6 drops to damp skin after showering. Massage gently in circular motions until absorbed.</p>",Luminae,Health & Beauty > Personal Care > Cosmetics > Skin Care,Body Oil,"body-oil, argan, rose, natural, gifting, bestseller",TRUE,Size,100ml,,,LMN-BR-001-100,280,shopify,50,deny,manual,1999,2599,TRUE,TRUE,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=800,1,Luminae Rose & Argan Body Oil 100ml bottle on wooden surface,"Luminae Rose & Argan Body Oil — Natural Glow Skin Nourishment | Luminae","Discover our lightweight Rose & Argan Body Oil. Cold-pressed, paraben-free, and deeply nourishing. Shop Luminae's premium natural body care — free shipping on orders over ₹999.",active
luminae-himalayan-salt-body-scrub,"Luminae Himalayan Salt & Coconut Body Scrub","<h2>Your skin deserves a fresh start.</h2><p>This Himalayan Salt &amp; Coconut Body Scrub gently buffs away dullness using natural pink salt granules blended with cold-pressed coconut oil and a hint of vanilla. Each use leaves skin visibly smoother, softened, and lightly moisturised — no rinse-residue, no artificial dyes.</p><p>A weekly ritual your skin will thank you for. Suitable for all skin types.</p><ul><li>Natural Himalayan pink salt granules</li><li>Cold-pressed coconut oil base</li><li>Vanilla &amp; essential oil scent</li><li>No artificial dyes or synthetic fragrance</li><li>Suitable for all skin types</li></ul><p><strong>How to use:</strong> Apply to wet skin in the shower. Massage in circular motions, focusing on rough areas. Rinse thoroughly. Use 2–3 times per week.</p>",Luminae,Health & Beauty > Personal Care > Cosmetics > Skin Care,Body Scrub,"scrub, exfoliant, himalayan-salt, coconut, natural, body-care",TRUE,Size,200g,,,LMN-BR-002-200,220,shopify,50,deny,manual,899,1199,TRUE,TRUE,https://images.unsplash.com/photo-1570194065650-d99fb4d8a609?w=800,1,Luminae Himalayan Salt Body Scrub jar with pink salt,"Himalayan Salt & Coconut Body Scrub — Natural Exfoliator | Luminae","Polish your skin with Luminae's Himalayan Salt & Coconut Body Scrub. Natural, sulphate-free, deeply smoothing. Perfect for a weekly self-care ritual. Order now.",active
luminae-himalayan-salt-body-scrub,"Luminae Himalayan Salt & Coconut Body Scrub","<h2>Your skin deserves a fresh start.</h2><p>This Himalayan Salt &amp; Coconut Body Scrub gently buffs away dullness using natural pink salt granules blended with cold-pressed coconut oil and a hint of vanilla. Each use leaves skin visibly smoother, softened, and lightly moisturised — no rinse-residue, no artificial dyes.</p><p>A weekly ritual your skin will thank you for. Suitable for all skin types.</p><ul><li>Natural Himalayan pink salt granules</li><li>Cold-pressed coconut oil base</li><li>Vanilla &amp; essential oil scent</li><li>No artificial dyes or synthetic fragrance</li><li>Suitable for all skin types</li></ul><p><strong>How to use:</strong> Apply to wet skin in the shower. Massage in circular motions, focusing on rough areas. Rinse thoroughly. Use 2–3 times per week.</p>",Luminae,Health & Beauty > Personal Care > Cosmetics > Skin Care,Body Scrub,"scrub, exfoliant, himalayan-salt, coconut, natural, body-care",TRUE,Size,400g,,,LMN-BR-002-400,430,shopify,50,deny,manual,1549,1999,TRUE,TRUE,https://images.unsplash.com/photo-1570194065650-d99fb4d8a609?w=800,1,Luminae Himalayan Salt Body Scrub large jar,"Himalayan Salt & Coconut Body Scrub — Natural Exfoliator | Luminae","Polish your skin with Luminae's Himalayan Salt & Coconut Body Scrub. Natural, sulphate-free, deeply smoothing. Perfect for a weekly self-care ritual. Order now.",active
luminae-goat-milk-honey-soap,"Luminae Goat Milk & Honey Artisan Soap Bar","<h2>Crafted in small batches, made for daily luxury.</h2><p>Our Goat Milk &amp; Honey Artisan Soap Bar is a daily luxury for your skin. Rich in lactic acid from pure goat milk and humectant raw honey, this gentle cold-process bar cleanses without stripping your skin's natural moisture barrier.</p><p>Lightly scented with oat and vanilla, it transforms your morning shower into a calm, grounding ritual. Completely cruelty-free and biodegradable packaging.</p><ul><li>Cold-process handcrafted formula</li><li>Pure goat milk &amp; raw honey</li><li>Available in 3 scents</li><li>Cruelty-free &amp; biodegradable packaging</li><li>Net weight: 110g per bar</li></ul><p><strong>How to use:</strong> Lather between palms or directly on skin. Rinse thoroughly. Keep dry between uses to extend bar life.</p>",Luminae,Health & Beauty > Personal Care > Cosmetics > Skin Care,Soap,"soap, artisan, goat-milk, honey, cold-process, gifting",TRUE,Scent,Oat & Vanilla,,,LMN-BR-003-OV,120,shopify,80,deny,manual,649,849,TRUE,TRUE,https://images.unsplash.com/photo-1547592166-23ac45744acd?w=800,1,Luminae Goat Milk Honey Soap Bar oat vanilla scent,"Goat Milk & Honey Artisan Soap Bar — Handcrafted Natural Soap | Luminae","Small-batch goat milk and honey soap that nourishes as it cleanses. Cold-process crafted, free from harsh chemicals. Try all 3 scents from Luminae.",active
luminae-goat-milk-honey-soap,"Luminae Goat Milk & Honey Artisan Soap Bar","<h2>Crafted in small batches, made for daily luxury.</h2><p>Our Goat Milk &amp; Honey Artisan Soap Bar is a daily luxury for your skin. Rich in lactic acid from pure goat milk and humectant raw honey, this gentle cold-process bar cleanses without stripping your skin's natural moisture barrier.</p><p>Lightly scented with oat and vanilla, it transforms your morning shower into a calm, grounding ritual. Completely cruelty-free and biodegradable packaging.</p><ul><li>Cold-process handcrafted formula</li><li>Pure goat milk &amp; raw honey</li><li>Available in 3 scents</li><li>Cruelty-free &amp; biodegradable packaging</li><li>Net weight: 110g per bar</li></ul><p><strong>How to use:</strong> Lather between palms or directly on skin. Rinse thoroughly. Keep dry between uses to extend bar life.</p>",Luminae,Health & Beauty > Personal Care > Cosmetics > Skin Care,Soap,"soap, artisan, goat-milk, honey, cold-process, gifting",TRUE,Scent,Lavender & Mint,,,LMN-BR-003-LM,120,shopify,80,deny,manual,649,849,TRUE,TRUE,https://images.unsplash.com/photo-1547592166-23ac45744acd?w=800,1,Luminae Goat Milk Honey Soap Bar lavender mint scent,"Goat Milk & Honey Artisan Soap Bar — Handcrafted Natural Soap | Luminae","Small-batch goat milk and honey soap that nourishes as it cleanses. Cold-process crafted, free from harsh chemicals. Try all 3 scents from Luminae.",active
luminae-goat-milk-honey-soap,"Luminae Goat Milk & Honey Artisan Soap Bar","<h2>Crafted in small batches, made for daily luxury.</h2><p>Our Goat Milk &amp; Honey Artisan Soap Bar is a daily luxury for your skin. Rich in lactic acid from pure goat milk and humectant raw honey, this gentle cold-process bar cleanses without stripping your skin's natural moisture barrier.</p><p>Lightly scented with oat and vanilla, it transforms your morning shower into a calm, grounding ritual. Completely cruelty-free and biodegradable packaging.</p><ul><li>Cold-process handcrafted formula</li><li>Pure goat milk &amp; raw honey</li><li>Available in 3 scents</li><li>Cruelty-free &amp; biodegradable packaging</li><li>Net weight: 110g per bar</li></ul><p><strong>How to use:</strong> Lather between palms or directly on skin. Rinse thoroughly. Keep dry between uses to extend bar life.</p>",Luminae,Health & Beauty > Personal Care > Cosmetics > Skin Care,Soap,"soap, artisan, goat-milk, honey, cold-process, gifting",TRUE,Scent,Charcoal & Tea Tree,,,LMN-BR-003-CT,120,shopify,80,deny,manual,649,849,TRUE,TRUE,https://images.unsplash.com/photo-1547592166-23ac45744acd?w=800,1,Luminae Goat Milk Honey Soap Bar charcoal tea tree scent,"Goat Milk & Honey Artisan Soap Bar — Handcrafted Natural Soap | Luminae","Small-batch goat milk and honey soap that nourishes as it cleanses. Cold-process crafted, free from harsh chemicals. Try all 3 scents from Luminae.",active
luminae-soy-wax-ritual-candle,"Luminae Soy Wax Ritual Candle","<h2>Set the mood in minutes.</h2><p>Our hand-poured Soy Wax Ritual Candle uses 100% natural soy wax and a cotton wick for a clean, long-lasting burn of up to 45 hours. Each scent is crafted to anchor a mood — light Sandalwood &amp; Amber for evenings of calm, or choose Jasmine &amp; Neroli for a floral, energising glow.</p><p>Free from synthetic dyes and petroleum. Every candle comes in a reusable ceramic vessel you'll want to keep long after the wax is gone.</p><ul><li>100% natural soy wax</li><li>Cotton wick — clean, soot-free burn</li><li>Up to 45 hours burn time</li><li>Reusable ceramic vessel</li><li>No synthetic dyes or petroleum</li></ul><p><strong>How to use:</strong> Trim wick to 5mm before each burn. Allow wax to pool fully on first use. Never burn for more than 4 hours at a time.</p>",Luminae,Home & Garden > Decor > Candles & Holders,Candle,"candle, soy-wax, hand-poured, home-decor, gifting, bestseller",TRUE,Scent,Sandalwood & Amber,,,LMN-HA-001-SA,280,shopify,60,deny,manual,1099,1399,TRUE,TRUE,https://images.unsplash.com/photo-1602874801006-74d9f1f17248?w=800,1,Luminae Soy Wax Ritual Candle sandalwood amber in ceramic vessel,"Luminae Soy Wax Ritual Candle — Hand-Poured Natural Scented Candle","Hand-poured, 100% natural soy wax candles with a 45-hour burn time. Choose from 3 signature scents. Comes in a reusable ceramic vessel. Shop Luminae Home Ambiance.",active
luminae-soy-wax-ritual-candle,"Luminae Soy Wax Ritual Candle","<h2>Set the mood in minutes.</h2><p>Our hand-poured Soy Wax Ritual Candle uses 100% natural soy wax and a cotton wick for a clean, long-lasting burn of up to 45 hours. Each scent is crafted to anchor a mood — light Sandalwood &amp; Amber for evenings of calm, or choose Jasmine &amp; Neroli for a floral, energising glow.</p><p>Free from synthetic dyes and petroleum. Every candle comes in a reusable ceramic vessel you'll want to keep long after the wax is gone.</p><ul><li>100% natural soy wax</li><li>Cotton wick — clean, soot-free burn</li><li>Up to 45 hours burn time</li><li>Reusable ceramic vessel</li><li>No synthetic dyes or petroleum</li></ul><p><strong>How to use:</strong> Trim wick to 5mm before each burn. Allow wax to pool fully on first use. Never burn for more than 4 hours at a time.</p>",Luminae,Home & Garden > Decor > Candles & Holders,Candle,"candle, soy-wax, hand-poured, home-decor, gifting, bestseller",TRUE,Scent,Jasmine & Neroli,,,LMN-HA-001-JN,280,shopify,60,deny,manual,1099,1399,TRUE,TRUE,https://images.unsplash.com/photo-1602874801006-74d9f1f17248?w=800,1,Luminae Soy Wax Ritual Candle jasmine neroli in ceramic vessel,"Luminae Soy Wax Ritual Candle — Hand-Poured Natural Scented Candle","Hand-poured, 100% natural soy wax candles with a 45-hour burn time. Choose from 3 signature scents. Comes in a reusable ceramic vessel. Shop Luminae Home Ambiance.",active
luminae-soy-wax-ritual-candle,"Luminae Soy Wax Ritual Candle","<h2>Set the mood in minutes.</h2><p>Our hand-poured Soy Wax Ritual Candle uses 100% natural soy wax and a cotton wick for a clean, long-lasting burn of up to 45 hours. Each scent is crafted to anchor a mood — light Sandalwood &amp; Amber for evenings of calm, or choose Jasmine &amp; Neroli for a floral, energising glow.</p><p>Free from synthetic dyes and petroleum. Every candle comes in a reusable ceramic vessel you'll want to keep long after the wax is gone.</p><ul><li>100% natural soy wax</li><li>Cotton wick — clean, soot-free burn</li><li>Up to 45 hours burn time</li><li>Reusable ceramic vessel</li><li>No synthetic dyes or petroleum</li></ul><p><strong>How to use:</strong> Trim wick to 5mm before each burn. Allow wax to pool fully on first use. Never burn for more than 4 hours at a time.</p>",Luminae,Home & Garden > Decor > Candles & Holders,Candle,"candle, soy-wax, hand-poured, home-decor, gifting, bestseller",TRUE,Scent,Cedarwood & Smoke,,,LMN-HA-001-CS,280,shopify,60,deny,manual,1099,1399,TRUE,TRUE,https://images.unsplash.com/photo-1602874801006-74d9f1f17248?w=800,1,Luminae Soy Wax Ritual Candle cedarwood smoke in ceramic vessel,"Luminae Soy Wax Ritual Candle — Hand-Poured Natural Scented Candle","Hand-poured, 100% natural soy wax candles with a 45-hour burn time. Choose from 3 signature scents. Comes in a reusable ceramic vessel. Shop Luminae Home Ambiance.",active
